Region_ID,Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,1,0.6321,61,6,8,53,208,0,208,977137,105,24,3.55,16004,199452,1368,56285,10,3612,49200,1,0,0,1282075,21192,61,105,0,0,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,5,0.1813,975,562,144,831,229833,19194,210639,19992228,1387,314,18.74,213177,1351308,22202,90255,73,314519,556452,6,0,4,21990242,779731,530,812,261,289,145,199,39,87,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,10,0.0952,1122,669,177,945,301471,26113,275358,22371870,1576,357,20.36,246237,1476633,23841,115500,85,358477,589416,7,0,4,24553419,930026,587,899,311,342,169,230,55,92,0,13
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,25,0.0392,1352,813,218,1134,416350,38710,377641,27081289,1855,420,22.9,293878,1666586,26000,116975,90,414257,652392,9,0,4,29517241,1150485,680,1009,398,444,199,266,64,106,11,30
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,50,0.0198,1576,958,264,1312,530790,51940,478850,30936019,2102,477,25.37,334505,1863673,27464,117770,93,455333,693228,9,0,5,33610689,1348091,790,1072,451,561,236,299,81,128,18,43
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,100,0.01,1833,1138,325,1508,676325,69673,606652,35906812,2362,537,28.33,382761,2107195,28919,122578,107,499407,742428,9,0,5,38879013,1587413,908,1159,539,672,274,315,86,146,26,70
VUT.1_1,Malampa,ssp245 (medium confidence),50,2020,0.049,250,0.004,2321,1450,463,1858,949362,107148,842213,45532900,2808,637,33.7,468694,2573434,31636,135828,128,562550,821640,13,0,5,49063801,2012241,1124,1238,666,913,375,396,120,169,36,92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,1,0.6321,61,6,8,53,361,0,361,977137,105,24,3.62,18695,208548,1934,56285,11,4865,52152,1,0,0,1294123,25855,60,105,1,0,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,5,0.1813,988,562,149,839,258559,21712,236847,20230884,1422,322,18.84,225651,1363701,22799,90523,74,332718,559404,6,0,4,22244512,839727,509,816,274,307,159,207,46,92,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,10,0.0952,1133,669,178,955,335673,29491,306182,22846614,1589,360,20.52,259638,1489327,24621,115778,86,377013,592368,7,0,4,25044088,996945,562,868,335,337,177,270,59,101,0,13
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,25,0.0392,1373,813,222,1151,461540,43449,418091,27339425,1872,424,23.05,308540,1683076,26814,116975,90,432516,655344,9,0,4,29794820,1229410,655,957,423,473,206,275,74,132,15,34
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,50,0.0198,1598,958,268,1330,587622,58206,529417,31330930,2115,480,25.52,350391,1880165,28243,118165,94,473578,697164,9,0,5,34026424,1439835,766,1010,479,609,247,316,83,115,23,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,100,0.01,1852,1138,329,1523,743608,77544,666064,36101051,2384,542,28.56,400449,2129585,29735,122973,108,517874,746364,9,0,5,39099972,1691666,874,1102,551,725,301,324,96,159,30,74
VUT.1_1,Malampa,ssp245 (medium confidence),50,2030,0.094,250,0.004,2346,1450,465,1881,1040282,119122,921161,46141890,2839,644,33.88,490522,2588726,32680,136628,129,580531,827544,13,0,5,49694788,2144015,1069,1164,685,977,418,406,135,187,39,106
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,1,0.6321,75,11,8,67,615,9,606,1126848,149,34,3.87,21885,231477,2784,56439,12,6865,68880,1,0,1,1483644,32150,71,132,4,17,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,5,0.1813,1112,655,174,938,294775,25170,269605,22270912,1549,351,20.03,239885,1461342,23652,115300,84,352975,584988,7,0,4,24432542,911287,588,898,298,307,172,239,54,96,0,9
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,10,0.0952,1277,765,199,1078,379369,34026,345343,25381888,1784,404,21.8,274840,1594552,25513,116975,90,396969,629268,9,0,4,27722683,1076691,664,992,355,395,188,270,66,110,4,17
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,25,0.0392,1525,933,252,1273,522341,50067,472274,30195655,2063,468,24.87,325346,1820143,27680,118560,95,452101,691260,9,0,4,32825618,1327467,764,1050,439,548,221,289,84,119,17,56
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,50,0.0198,1751,1099,306,1445,659441,66417,593024,34566768,2310,525,27.36,368658,2015041,29104,121773,105,493306,737508,9,0,5,37441090,1550509,874,1112,488,681,269,298,94,155,26,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,100,0.01,2020,1283,366,1654,830976,88244,742732,40226814,2632,597,30.78,421684,2332262,30685,125289,114,537429,786708,11,0,5,43471073,1820775,959,1205,586,838,327,338,114,164,34,87
VUT.1_1,Malampa,ssp245 (medium confidence),50,2040,0.143,250,0.004,2569,1634,519,2050,1162895,134743,1028152,51121936,3153,715,36.11,516035,2796136,34032,146778,141,600343,865428,14,0,5,54930278,2313305,1208,1386,719,985,436,468,156,200,50,114
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,1,0.6321,79,16,8,71,990,28,962,1276998,149,34,3.97,26222,240873,3974,56439,12,9875,73308,1,0,1,1647618,41060,73,110,6,39,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,5,0.1813,1139,746,177,962,345793,30114,315679,22761276,1594,361,20.36,259208,1479331,24844,115778,86,380260,592368,7,0,4,24948754,1010105,559,855,333,360,181,265,66,101,0,13
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,10,0.0952,1310,879,210,1100,441865,40523,401342,25975505,1819,412,22.13,295505,1622309,26715,116975,90,423732,639108,9,0,4,28353896,1187818,623,929,403,448,193,275,79,128,12,39
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,25,0.0392,1566,1068,262,1304,608723,59560,549163,30960043,2107,478,25.27,348192,1853226,28835,119183,97,478376,701592,9,0,5,33634044,1464127,732,971,461,640,253,290,96,146,24,61
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,50,0.0198,1803,1238,315,1488,761040,78163,682878,35868645,2341,532,27.93,393693,2069914,30271,122473,107,519829,746856,9,0,5,38807888,1704833,827,1009,533,765,292,324,120,164,31,79
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,100,0.01,2070,1447,375,1695,954799,103623,851176,41151198,2680,608,31.37,450811,2370842,31999,127475,119,563735,798516,11,0,5,44448030,2001344,912,1097,620,909,353,383,145,199,40,92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2050,0.209,250,0.004,2629,1853,532,2097,1336857,156821,1180035,52096008,3224,731,36.71,550931,2848893,35887,147428,143,627376,880680,14,0,5,55973009,2551050,1152,1293,747,1039,479,541,186,214,65,136
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,1,0.6321,98,16,8,90,1401,71,1330,1936139,189,43,4.3,30021,264860,5003,56439,12,13622,95940,1,0,1,2353378,50047,87,150,11,39,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,5,0.1813,1261,746,196,1065,397017,35216,361801,25120016,1780,403,21.56,276904,1583757,25920,116812,89,403457,630252,9,0,4,27450837,1103298,634,948,360,404,185,274,77,137,5,17
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,10,0.0952,1445,879,239,1206,509119,47377,461743,28603205,1976,448,23.87,314427,1738295,27724,118360,94,446558,677976,9,0,4,31137836,1297828,714,990,412,522,213,284,90,123,16,56
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,25,0.0392,1729,1068,301,1428,695955,69428,626527,34050115,2302,523,27.13,369430,1988156,29804,120373,101,500940,741444,9,0,5,36900088,1596129,825,1060,489,702,267,316,122,150,26,74
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,50,0.0198,1963,1238,347,1616,865175,90630,774545,38885526,2592,588,30.08,418149,2273998,31340,126275,116,542711,785724,11,0,5,42071523,1857375,904,1135,566,842,320,337,139,190,34,88
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,100,0.01,2303,1447,438,1865,1080839,119997,960842,45071498,2871,651,33.49,478589,2570202,33253,130287,124,586956,843780,12,0,5,48615767,2179636,1067,1171,640,960,384,426,158,213,54,100
VUT.1_1,Malampa,ssp245 (medium confidence),50,2060,0.266,250,0.004,2888,1853,603,2285,1511014,178907,1332107,56107152,3498,793,39.2,584367,3082330,40112,256940,155,652488,920532,16,0,6,60366953,2787980,1302,1476,793,1065,500,571,217,236,76,150
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,1,0.6321,119,40,11,108,2381,184,2196,2289352,220,50,4.74,34772,293155,6409,77511,15,19320,123984,1,0,1,2784002,62881,106,168,13,52,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,5,0.1813,1382,855,220,1162,471116,42637,428479,27308189,1936,439,23.19,299607,1684422,27235,118360,94,432560,673056,9,0,4,29784027,1230518,685,997,399,484,198,279,88,124,12,52
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,10,0.0952,1602,1005,271,1331,605049,57612,547436,32030427,2164,491,25.64,339097,1875925,28988,119973,99,474927,721272,9,0,5,34747597,1448061,789,1023,439,641,232,276,119,159,23,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,25,0.0392,1902,1216,334,1568,817412,83662,733750,37971069,2514,571,29.19,397695,2202576,31082,125275,114,529702,780312,9,0,5,41079231,1775892,901,1130,531,792,298,315,139,195,33,83
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,50,0.0198,2156,1408,383,1773,1008711,108541,900170,43081722,2783,631,32.37,450389,2483535,32730,127519,120,572029,833940,12,0,5,46526716,2063860,988,1172,617,913,346,372,155,230,50,96
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,100,0.01,2505,1656,486,2019,1258478,142514,1115964,49450158,3136,710,35.83,514912,2776216,35571,244897,142,616953,890028,16,0,5,53361299,2425914,1148,1305,681,1024,421,443,189,245,66,118
VUT.1_1,Malampa,ssp245 (medium confidence),50,2070,0.338,250,0.004,3171,2114,681,2490,1750992,209534,1541458,61751275,3810,864,41.57,627776,3316710,45188,275167,183,684910,961860,18,0,6,66305012,3108865,1435,1612,857,1082,537,655,248,289,94,172
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,1,0.6321,157,61,16,141,4155,412,3743,3080766,246,56,5.28,40240,327356,8097,77511,16,27192,151044,1,0,2,3636677,79684,136,185,21,61,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,5,0.1813,1523,988,254,1269,568745,52687,516058,30422259,2068,469,24.66,325903,1798964,28652,119773,98,464448,701592,9,0,5,33042588,1387748,746,970,428,606,210,263,121,163,18,65
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,10,0.0952,1744,1136,301,1443,727372,71332,656040,35132407,2320,527,27.01,367945,1988898,30386,122275,105,506191,751776,9,0,5,37995356,1631894,831,1039,488,742,258,281,139,177,28,83
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,25,0.0392,2039,1379,357,1682,968819,102027,866792,40279371,2668,605,30.95,431507,2355699,32547,127319,119,562162,816720,11,0,5,43579109,1995035,934,1127,569,873,326,350,158,226,52,92
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,50,0.0198,2327,1600,428,1899,1188599,131398,1057201,45722193,2969,673,33.97,488613,2621178,34324,133176,132,605216,869364,15,0,5,49345911,2316753,1053,1211,637,966,384,426,187,240,66,127
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,100,0.01,2667,1862,522,2145,1483657,170135,1313522,52668866,3337,756,37.65,557774,2955726,39387,258126,158,651202,929388,16,0,5,56812107,2732020,1164,1354,727,1004,465,541,226,280,85,158
VUT.1_1,Malampa,ssp245 (medium confidence),50,2080,0.418,250,0.004,3403,2359,760,2643,2048402,248231,1800171,66733422,4023,913,43.66,678481,3504919,51273,291821,215,721637,996792,18,0,7,71526955,3499793,1473,1580,944,1145,586,776,290,333,110,189
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,1,0.6321,172,61,17,155,6589,771,5818,3323642,268,61,5.92,46242,366035,9770,77511,16,36547,166788,1,0,2,3933977,99147,132,198,40,70,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,5,0.1813,1601,988,272,1329,680978,64958,616020,32382484,2181,495,25.63,352748,1883921,29990,120368,100,493905,724716,9,0,5,35111489,1557622,746,930,447,719,242,272,140,186,26,74
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,10,0.0952,1826,1136,316,1510,859363,86913,772450,36381947,2418,549,28.23,397468,2111138,31726,123675,109,536485,766536,9,0,5,39383296,1825042,815,1014,522,781,289,329,152,208,48,87
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,25,0.0392,2136,1379,378,1758,1129831,122056,1007776,41914384,2784,631,31.98,466636,2459856,33925,128767,123,593743,841320,13,0,5,45344326,2224135,911,1085,625,930,357,382,179,270,64,118
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,50,0.0198,2439,1600,461,1978,1387223,155749,1231474,47561005,3104,703,35.0,527395,2702337,37429,245787,143,637353,891996,15,0,5,51401126,2589400,1037,1198,674,1013,434,465,212,281,82,149
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,100,0.01,2780,1862,552,2228,1728597,198921,1529675,54818818,3469,786,38.71,601455,3050371,44685,264368,173,684533,948576,17,0,6,59082133,3059270,1124,1302,802,1029,498,650,252,293,104,194
VUT.1_1,Malampa,ssp245 (medium confidence),50,2090,0.494,250,0.004,3521,2359,788,2733,2366592,291391,2075201,68938507,4173,947,45.15,729655,3643502,57936,305384,238,756502,1022868,19,0,7,73910261,3910685,1404,1547,996,1199,650,806,337,387,134,234
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,1,0.6321,218,77,24,194,9665,1124,8541,3783076,326,74,7.39,52885,443555,11000,77511,16,47227,204672,2,0,2,4508814,120777,164,230,54,96,0,0,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,5,0.1813,1791,1124,307,1484,796870,78333,718538,36079395,2361,536,27.58,378335,2046770,31185,122775,106,520668,762108,9,0,5,39011048,1727058,825,1018,514,750,258,307,151,199,43,87
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,10,0.0952,2007,1300,352,1655,994280,103127,891152,39820355,2663,604,30.34,426686,2312421,32856,127372,120,564364,817212,12,0,5,43077360,2018185,904,1101,559,877,316,338,172,243,56,105
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,25,0.0392,2325,1555,419,1906,1300688,142864,1157823,45827302,3006,681,34.18,500336,2626576,36228,240547,139,622344,886584,15,0,5,49581009,2459595,1000,1182,642,978,404,435,202,271,77,140
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,50,0.0198,2641,1786,512,2129,1600522,180676,1419846,52018972,3325,753,37.5,564583,2942710,41821,259418,171,666646,943164,17,0,5,56164264,2873572,1101,1254,734,1032,467,561,238,308,101,171
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,100,0.01,3060,2054,623,2437,1983727,229771,1753956,60247010,3743,848,41.15,642469,3267302,49626,277597,213,715436,992364,18,0,6,64784273,3391257,1269,1420,845,1094,552,694,279,315,115,220
VUT.1_1,Malampa,ssp245 (medium confidence),50,2100,0.562,250,0.004,3787,2612,838,2949,2706895,339147,2367747,75123369,4480,1017,47.94,778289,3943714,65093,334909,310,787556,1071084,20,0,7,80473076,4337832,1517,1712,1048,1171,676,935,386,391,160,270
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,1,0.6321,262,99,27,235,14562,1553,13009,4352275,406,92,8.78,61773,522143,12303,77511,16,62018,243540,2,0,2,5195469,150656,194,261,64,128,4,17,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,5,0.1813,1954,1285,340,1614,948090,96167,851923,38602993,2619,594,29.69,411003,2253749,32544,127067,119,553273,806388,10,0,5,41790197,1944909,900,1160,530,807,298,307,172,239,54,105
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,10,0.0952,2177,1464,383,1794,1170689,124468,1046221,42817447,2855,647,32.51,463668,2509736,34275,132333,131,598245,865920,15,0,5,46325436,2266877,952,1137,612,926,355,395,188,270,70,127
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,25,0.0392,2548,1747,480,2068,1535363,170593,1364770,50195435,3257,737,36.33,542247,2838745,40439,258129,177,656800,941196,17,0,5,54233505,2774850,1079,1259,708,990,439,544,221,289,101,175
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,50,0.0198,2883,1983,566,2317,1885805,213733,1672072,57331963,3602,816,39.74,610916,3163618,47598,284022,230,702526,989904,19,0,6,61769508,3246845,1199,1357,807,1047,488,681,269,298,120,220
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,100,0.01,3373,2322,701,2672,2324526,271865,2052661,67045020,4037,915,43.82,693115,3524499,56574,308011,288,752639,1028280,19,0,6,71905811,3826855,1419,1494,893,1116,586,838,327,338,148,251
VUT.1_1,Malampa,ssp245 (medium confidence),50,2110,0.643,250,0.004,4069,2915,899,3170,3164160,403501,2760659,80655411,4753,1079,50.46,838783,4233039,73990,358541,376,824864,1116348,21,0,7,86363339,4901797,1591,1710,1117,1275,719,985,436,468,206,314
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,1,0.6321,331,174,35,296,20936,2023,18913,5690328,465,105,10.5,71367,609154,13412,78422,21,78884,297168,2,0,2,6675072,184599,250,311,73,114,8,39,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,5,0.1813,2190,1606,388,1802,1113938,115824,998114,43286236,2874,651,32.5,444678,2509641,33840,134704,137,585082,875760,15,0,5,46806341,2177537,1030,1227,570,900,337,364,184,265,69,119
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,10,0.0952,2430,1835,438,1992,1370178,148124,1222055,47958747,3185,721,35.31,500996,2751849,36618,255202,176,631034,928896,17,0,5,51894693,2538826,1096,1327,637,955,407,462,198,275,92,167
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,25,0.0392,2851,2135,548,2303,1801641,201386,1600255,56649922,3586,812,39.56,584171,3148981,45924,289466,251,690378,997284,19,0,6,61085654,3122114,1236,1418,769,992,468,675,253,290,125,211
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,50,0.0198,3270,2445,657,2613,2200215,251026,1949189,64715818,3983,903,43.12,656996,3464196,53802,311003,319,737751,1039104,19,0,6,69530120,3648764,1418,1563,864,1075,535,765,298,324,155,256
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,100,0.01,3781,2783,822,2959,2700928,320099,2380829,74799506,4483,1017,47.76,743588,3901338,64159,352960,393,788438,1094208,21,0,7,80148012,4297112,1657,1759,947,1129,631,900,357,400,189,296
VUT.1_1,Malampa,ssp245 (medium confidence),50,2120,0.72,250,0.004,4370,3533,945,3425,3665441,475092,3190349,86734225,5162,1173,54.06,899363,4645386,82269,397820,487,861274,1183752,23,0,7,92961183,5508346,1676,1889,1191,1321,759,1043,487,559,257,350
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,1,0.6321,382,174,39,343,29394,2651,26743,6989365,487,110,11.89,82723,685706,14474,80358,30,99235,329148,3,0,2,8084577,225826,284,294,87,141,11,52,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,5,0.1813,2339,1606,413,1926,1312874,138986,1173887,46512851,3052,691,34.24,481655,2663760,37028,251079,169,617257,915612,17,0,5,50343302,2448813,1056,1260,624,930,378,426,193,279,88,158
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,10,0.0952,2649,1835,493,2156,1623985,176778,1447206,52116965,3354,759,37.21,541132,2923273,41738,276382,229,663734,969732,18,0,5,56286352,2870589,1182,1360,699,950,431,571,220,272,117,202
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,25,0.0392,3056,2135,595,2461,2119634,238086,1881548,60701511,3806,862,41.54,629033,3315101,52472,308136,315,725072,1033692,19,0,6,65358439,3526211,1304,1491,812,1007,503,751,279,311,158,247
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,50,0.0198,3527,2445,732,2795,2568055,297251,2270804,69979403,4224,957,45.38,705416,3658763,61447,337756,382,773556,1075512,19,0,6,75051433,4108475,1536,1609,886,1109,590,860,329,350,186,295
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,100,0.01,3974,2783,859,3115,3142543,379579,2762964,78874953,4729,1073,50.07,798718,4176565,72178,380355,457,824445,1139472,23,0,7,84571345,4837884,1648,1845,1036,1127,669,1000,397,426,224,331
VUT.1_1,Malampa,ssp245 (medium confidence),50,2130,0.796,250,0.004,4579,3533,982,3597,4240040,559895,3680145,90225404,5393,1226,56.17,964107,4869541,89435,416342,530,899151,1224588,25,0,8,96735874,6192732,1649,1869,1288,1436,814,1061,516,615,312,412
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,1,0.6321,387,174,41,346,37853,3279,34574,7261872,491,111,12.04,93957,691703,15533,80559,31,119569,331608,3,0,2,8365742,266912,268,272,103,163,16,57,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,5,0.1813,2358,1606,415,1943,1511810,162149,1349660,46708676,3074,696,34.36,518430,2677726,39854,251870,171,649412,921516,17,0,5,50559787,2719505,978,1142,651,954,410,510,206,275,113,193
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,10,0.0952,2661,1835,497,2164,1877791,205433,1672358,52576888,3389,767,37.39,581027,2942163,46828,280838,234,696414,974652,18,0,5,56774542,3202060,1064,1225,747,949,451,697,245,290,154,229
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,25,0.0392,3092,2135,606,2486,2437626,274786,2162840,61442682,3815,864,41.78,673686,3336310,58986,309097,318,759752,1038120,19,0,6,66126209,3930050,1198,1305,847,1064,549,795,316,364,182,286
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,50,0.0198,3559,2445,742,2817,2935895,343476,2592419,70992160,4268,967,45.65,753584,3686349,69051,340050,389,809347,1080432,20,0,6,76098992,4567876,1409,1485,939,1092,626,952,361,409,224,331
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,100,0.01,4006,2783,864,3142,3584158,439059,3145098,79429992,4782,1085,50.41,853501,4217145,80148,382790,465,860430,1143900,23,0,7,85173828,5378237,1504,1650,1091,1249,695,1019,435,460,281,403
VUT.1_1,Malampa,ssp245 (medium confidence),50,2140,0.872,250,0.004,4596,3533,984,3612,4814639,644697,4169942,90512534,5419,1232,56.37,1028505,4888631,96571,419280,538,937008,1228524,25,0,8,97048970,6876722,1427,1614,1361,1515,878,1112,563,681,367,496
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,1,0.6321,441,222,53,388,48503,4137,44366,9425510,572,129,13.21,106468,784915,16475,81509,35,142117,361128,3,0,2,10653061,313562,281,326,130,181,30,65,0,0,0,0
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,5,0.1813,2592,1801,473,2119,1754115,189436,1564679,51000067,3349,758,36.46,556308,2859821,44160,276720,231,681322,959400,18,0,5,55096009,3035905,1067,1277,715,930,439,637,218,276,153,229
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,10,0.0952,2869,2015,549,2320,2168918,238619,1930299,57176327,3634,823,39.84,622381,3171570,52740,305056,308,729519,1017948,18,0,6,61670901,3573558,1124,1310,792,1012,506,737,273,312,174,264
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,25,0.0392,3384,2347,677,2707,2788502,317980,2470522,67384893,4110,931,44.27,719225,3566201,66148,332980,391,794773,1072068,20,0,6,72356142,4368648,1343,1442,888,1061,600,913,331,359,222,335
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,50,0.0198,3858,2656,822,3036,3348737,396869,2951868,76045578,4564,1035,48.67,803995,4008254,76488,370112,460,844653,1126188,22,0,7,81550132,5073873,1524,1595,1014,1154,649,996,402,417,269,402
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,100,0.01,4270,3096,920,3350,4078751,505755,3572996,84990851,5005,1136,52.97,910843,4496914,87244,404226,519,895517,1187688,23,0,7,91079678,5972355,1597,1658,1108,1278,757,1036,481,580,327,452
VUT.1_1,Malampa,ssp245 (medium confidence),50,2150,0.946,250,0.004,4848,3812,1022,3826,5455313,742678,4712635,94474239,5731,1303,58.85,1094497,5215703,103782,430054,562,974008,1268376,25,0,8,101388372,7627599,1442,1699,1399,1528,972,1157,605,794,430,553
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,1,0.6321,5,1,0,5,1455,0,1455,353263,5,1,0.02,97,799,4168,58568,7,1332,4181,0,0,1,416811,7053,4,5,1,0,0,0,0,0,0,0
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,5,0.1813,18,11,1,17,36778,0,36778,699002,14,3,0.1,2418,12526,21180,88816,13,6096,9346,1,0,1,809690,66473,9,10,4,0,4,0,1,5,0,0
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,10,0.0952,18,12,1,17,41714,0,41714,699002,29,6,0.1,2575,12526,23113,88816,13,6233,10575,1,0,1,810919,73635,8,24,2,0,6,0,2,5,0,0
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,25,0.0392,18,15,1,17,49236,51,49184,699002,38,8,0.11,2765,15024,25258,88816,13,6402,11067,2,0,1,813909,83661,7,34,3,0,5,0,3,5,0,0
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,50,0.0198,23,15,1,22,55523,190,55333,857673,38,8,0.11,2898,15024,26680,88816,13,6655,12051,2,0,1,973564,91756,8,29,6,5,5,0,4,5,0,0
VUT.2_1,Penama,ssp245 (medium confidence),50,2020,0.049,100,0.01,25,16,1,24,63276,337,62939,893557,38,8,0.11,3024,15024,27984,88816,13,7016,12051,2,0,1,1009448,101301,10,29,5,5,6,0,3,0,1,5
